id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
78,300H5F,ASME B31.8,-40 / 90,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 7.09,"F-002AW, Note (6)",N,,300H5F,6.02,7.09,"Pipe line class 300H5F. Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 7.09 mm. WPS number F-002AW, Note (6). PWHT N."
79,300H5F,ASME B31.8,-40 / 90,LTCS  - API 5L X60 (SMLS),> 12,7.92 - 9.53,"F-017AW, Note (6)",N,,300H5F,7.92,9.53,"Pipe line class 300H5F. Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.92 - 9.53 mm. WPS number F-017AW, Note (6). PWHT N."
80,300H5P,ASME B31.8,-40 / 80,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 5.54,"F-001AW, Note (6)",N,,300H5P,3.91,5.54,"Pipe line class 300H5P. Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number F-001AW, Note (6). PWHT N."
81,300H5P,ASME B31.8,-40 / 80,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 6.35,"F-002AW, Note (6)",N,,300H5P,6.02,6.35,"Pipe line class 300H5P. Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 6.35 mm. WPS number F-002AW, Note (6). PWHT N."
82,300H5P,ASME B31.8,-40 / 80,LTCS  - API 5L X60 (SMLS),> 12,6.35 - 9.53,"F-017AW, Note (6)",N,,300H5P,6.35,9.53,"Pipe line class 300H5P. Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 6.35 - 9.53 mm. WPS number F-017AW, Note (6). PWHT N."
83,300J20,ASME B31.3,-40 / 180,LTCS NACE,3/4 - 3,3.91 - 5.56,20AW,N,,300J20,3.91,5.56,Pipe line class 300J20. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 3.91 - 5.56 mm. WPS number 20AW. PWHT N.
84,300J20,ASME B31.3,-40 / 180,LTCS NACE,> 3,6.35 - 9.53,21AW,N,,300J20,6.35,9.53,Pipe line class 300J20. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.35 - 9.53 mm. WPS number 21AW. PWHT N.
85,300K21,ASME B31.3,-40 / 260,LTCS NACE,1/2 - 3,4.55 - 7.82,"20PW, for SW see Note (2)",Y,"SW only for legacy lines < 2""",300K21,4.55,7.82,"Pipe line class 300K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.55 - 7.82 mm. WPS number 20PW, for SW see Note (2). PWHT Y. Comments SW only for legacy lines < 2""."
86,300K21,ASME B31.3,-40 / 260,LTCS NACE,> 3,8.18 - 36.0,21PW,Y,"SW only for legacy lines < 2""",300K21,8.18,36,"Pipe line class 300K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 8.18 - 36.0 mm. WPS number 21PW. PWHT Y. Comments SW only for legacy lines < 2""."
87,300K23,ASME B31.3,-40 / 200,LTCS NACE,1/2 - 3,7.47 - 11.13,20PW,Y,,300K23,7.47,11.13,Pipe line class 300K23. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 7.47 - 11.13 mm. WPS number 20PW. PWHT Y.
88,300K23,ASME B31.3,-40 / 200,LTCS NACE,> 3,10.97 - 20.62,21PW,Y,,300K23,10.97,20.62,Pipe line class 300K23. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 10.97 - 20.62 mm. WPS number 21PW. PWHT Y.
89,300K5A (AG),ASME B31.8,-40 / 88,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,4.55 - 7.47,"F-001PW, Note (6)",Y,For above ground welds only,300K5AAG,4.55,7.47,"Pipe line class 300K5A (AG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 4.55 - 7.47 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only."
90,300K5A (AG),ASME B31.8,-40 / 88,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 12.70,"F-002PW, Note (6)",Y,For above ground welds only,300K5AAG,6.02,12.7,"Pipe line class 300K5A (AG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 12.70 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
91,300K5A (AG),ASME B31.8,-40 / 88,LTCS  - API 5L X60 (SMLS),> 12,7.14 - 34.93,"F-017PW, Note (6)",Y,For above ground welds only,300K5AAG,7.14,34.93,"Pipe line class 300K5A (AG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.14 - 34.93 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only."
92,300K5A (UG),ASME B31.8,-40 / 88,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 7.14,"F-002AW, Note (6)",N,For below ground pipeline welds only,300K5AUG,6.02,7.14,"Pipe line class 300K5A (UG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 7.14 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
93,300K5A (UG),ASME B31.8,-40 / 88,LTCS  - API 5L X60 (SMLS),> 12,7.14 - 10.31,"F-017AW, Note (6)",N,For below ground pipeline welds only,300K5AUG,7.14,10.31,"Pipe line class 300K5A (UG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.14 - 10.31 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
94,300K5D,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,4.55 - 7.47,20PW,Y,,300K5D,4.55,7.47,Pipe line class 300K5D. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.55 - 7.47 mm. WPS number 20PW. PWHT Y.
95,300K5D,ASME B31.3,-40 / 343,LTCS NACE,> 3,6.02 - 7.11,21PW,Y,,300K5D,6.02,7.11,Pipe line class 300K5D. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 6.02 - 7.11 mm. WPS number 21PW. PWHT Y.
96,300K5E (AG),ASME B31.8,-40 / 95,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,4.55 - 7.47,"F-001PW, Note (6)",Y,For above ground welds only,300K5EAG,4.55,7.47,"Pipe line class 300K5E (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 4.55 - 7.47 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only."
97,300K5E (AG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 7.14,"F-002PW, Note (6)",Y,For above ground welds only,300K5EAG,6.02,7.14,"Pipe line class 300K5E (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 7.14 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
98,300K5E (AG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS),> 12,7.92 - 15.88,"F-017PW, Note (6)",Y,For above ground welds only,300K5EAG,7.92,15.88,"Pipe line class 300K5E (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.92 - 15.88 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only."
99,300K5E (UG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 7.14,"F-002AW, Note (6)",N,For below ground pipeline welds only,300K5EUG,6.02,7.14,"Pipe line class 300K5E (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 7.14 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
100,300K5E (UG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS),> 12,7.92 - 11.91,"F-017AW, Note (6)",N,For below ground pipeline welds only,300K5EUG,7.92,11.91,"Pipe line class 300K5E (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.92 - 11.91 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
101,300K5F (AG),ASME B31.8,-40 / 80,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 5.54,"F-001PW, Note (6)",Y,For above ground welds only,300K5FAG,3.91,5.54,"Pipe line class 300K5F (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only."
102,300K5F (AG),ASME B31.8,-40 / 80,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 7.14,"F-002PW, Note (6)",Y,For above ground welds only,300K5FAG,6.02,7.14,"Pipe line class 300K5F (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 7.14 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
103,300K5F (AG),ASME B31.8,-40 / 80,LTCS  - API 5L X60 (SMLS),> 12,7.92 - 11.91,"F-017PW, Note (6)",Y,For above ground welds only,300K5FAG,7.92,11.91,"Pipe line class 300K5F (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.92 - 11.91 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only."
104,300K5F (UG),ASME B31.8,-40 / 80,LTCS  - API 5L X60 (SMLS),4 - 12,6.02 - 7.14,"F-002AW, Note (6)",N,For below ground pipeline welds only,300K5FUG,6.02,7.14,"Pipe line class 300K5F (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 7.14 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
105,300K5F (UG),ASME B31.8,-40 / 80,LTCS  - API 5L X60 (SMLS),> 12,7.92 - 11.91,"F-017AW, Note (6)",N,For below ground pipeline welds only,300K5FUG,7.92,11.91,"Pipe line class 300K5F (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter > 12 in. Thickness range 7.92 - 11.91 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
106,300K5G (AG),ASME B31.8,-40 / 95,Incoloy 825,3/4-3 Solid,3.91 - 7.62,51AW,N see Note (7),For above ground welds only,300K5GAG,3.91,7.62,Pipe line class 300K5G (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material Incoloy 825. Diameter 3/4-3 Solid in. Thickness range 3.91 - 7.62 mm. WPS number 51AW. PWHT N see Note (7). Comments For above ground welds only.
107,300K5G (AG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding,6-16,7.11 - 9.53,Contact MI Engineer,N see Note (7),For above ground welds only,300K5GAG,7.11,9.53,Pipe line class 300K5G (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding. Diameter 6-16 in. Thickness range 7.11 - 9.53 mm. WPS number Contact MI Engineer. PWHT N see Note (7). Comments For above ground welds only.
108,300K5G (UG),ASME B31.8,-40 / 95,Incoloy 825,3/4-3 Solid,3.91 - 7.62,51AW,N see Note (7),For below ground pipeline welds only,300K5GUG,3.91,7.62,Pipe line class 300K5G (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material Incoloy 825. Diameter 3/4-3 Solid in. Thickness range 3.91 - 7.62 mm. WPS number 51AW. PWHT N see Note (7). Comments For below ground pipeline welds only.
109,300K5G (UG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding,6-16,7.11 - 9.53,Contact MI Engineer,N see Note (7),For below ground pipeline welds only,300K5GUG,7.11,9.53,Pipe line class 300K5G (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding. Diameter 6-16 in. Thickness range 7.11 - 9.53 mm. WPS number Contact MI Engineer. PWHT N see Note (7). Comments For below ground pipeline welds only.
110,300MO6,ASME B31.3,-40 / 130,6% Moly (UNS31254),1/2 - 3,3.91 - 5.49,01AW,N,"SW only for legacy lines < 2""",300MO6,3.91,5.49,"Pipe line class 300MO6. Design code ASME B31.3. Design temperature range -40 / 130 deg C. Material 6% Moly (UNS31254). Diameter 1/2 - 3 in. Thickness range 3.91 - 5.49 mm. WPS number 01AW. PWHT N. Comments SW only for legacy lines < 2""."
111,300P21,ASME B31.3,-120 / 180,316/316L SS,1/2 - 3,3.91 - 5.08,25AW,N,"SW only for legacy lines < 2""",300P21,3.91,5.08,"Pipe line class 300P21. Design code ASME B31.3. Design temperature range -120 / 180 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.91 - 5.08 mm. WPS number 25AW. PWHT N. Comments SW only for legacy lines < 2""."
112,300P21,ASME B31.3,-120 / 180,316/316L SS,> 3,9.52 - 17.48,14AW,N,,300P21,9.52,17.48,Pipe line class 300P21. Design code ASME B31.3. Design temperature range -120 / 180 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 9.52 - 17.48 mm. WPS number 14AW. PWHT N.
113,300P22,ASME B31.3,-40 / 350,316/316L SS,1/2 - 3,3.91 - 7.82,25AW,N,,300P22,3.91,7.82,Pipe line class 300P22. Design code ASME B31.3. Design temperature range -40 / 350 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 25AW. PWHT N.
114,300P22,ASME B31.3,-40 / 350,316/316L SS,> 3,9.52 - 17.48,14AW,N,,300P22,9.52,17.48,Pipe line class 300P22. Design code ASME B31.3. Design temperature range -40 / 350 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 9.52 - 17.48 mm. WPS number 14AW. PWHT N.
115,300PF2,ASME B31.3,-40 / 130,Glass Reinforced Epoxy,,,,N,Adhesive taper joint,300PF2,,,Pipe line class 300PF2. Design code ASME B31.3. Design temperature range -40 / 130 deg C. Material Glass Reinforced Epoxy. PWHT N. Comments Adhesive taper joint.
116,600A80,ASME B31.3,-40 / 230,Incoloy 825,1/2 - 6,3.68 - 10.97,51AW,N,,600A80,3.68,10.97,Pipe line class 600A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825. Diameter 1/2 - 6 in. Thickness range 3.68 - 10.97 mm. WPS number 51AW. PWHT N.
117,600A80,ASME B31.3,-40 / 230,Incoloy 825,8 -24,12.70 - 24.61,54AW,N,,600A80,12.7,24.61,Pipe line class 600A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825. Diameter 8 -24 in. Thickness range 12.70 - 24.61 mm. WPS number 54AW. PWHT N.
118,600A80,ASME B31.3,-40 / 230,Incoloy 825,30 - 36,29.00 - 31.00,Contact MI Engineer,N,,600A80,29,31,Pipe line class 600A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825. Diameter 30 - 36 in. Thickness range 29.00 - 31.00 mm. WPS number Contact MI Engineer. PWHT N.
119,600A80,ASME B31.3,-40 / 230,316/316L SS,30,38,14AW,N,,600A80,38,38,Pipe line class 600A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material 316/316L SS. Diameter 30 in. Thickness range 38 mm. WPS number 14AW. PWHT N.
120,600C80,ASME B31.3,-40 / 200,Incoloy 825,1/2-3 Solid,3.68 - 5.56,51AW,N,,600C80,3.68,5.56,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Incoloy 825. Diameter 1/2-3 Solid in. Thickness range 3.68 - 5.56 mm. WPS number 51AW. PWHT N.
121,600C80,ASME B31.3,-40 / 200,LTCS + 3 mm 625 internal cladding,4 - 10,8.56 - 15.09,81AW,N see Note (7),,600C80,8.56,15.09,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4 - 10 in. Thickness range 8.56 - 15.09 mm. WPS number 81AW. PWHT N see Note (7).
122,600C80,ASME B31.3,-40 / 200,LTCS + 3 mm 625 internal cladding,16,21.44,Contact MI Engineer,Y,,600C80,21.44,21.44,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 16 in. Thickness range 21.44 mm. WPS number Contact MI Engineer. PWHT Y.
123,600C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825 internal cladding,4 - 10,8.56 - 15.09,Contact MI Engineer,N see Note (7),,600C80,8.56,15.09,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825 internal cladding. Diameter 4 - 10 in. Thickness range 8.56 - 15.09 mm. WPS number Contact MI Engineer. PWHT N see Note (7).
124,600C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825 internal cladding,16,21.44,Contact MI Engineer,Y,,600C80,21.44,21.44,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825 internal cladding. Diameter 16 in. Thickness range 21.44 mm. WPS number Contact MI Engineer. PWHT Y.
125,600C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825/625 internal cladding,18-30,23.88 - 35.00,Contact MI Engineer,Y,,600C80,23.88,35,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18-30 in. Thickness range 23.88 - 35.00 mm. WPS number Contact MI Engineer. PWHT Y.
126,600H21,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.73 - 7.82,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",600H21,3.73,7.82,"Pipe line class 600H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2""."
127,600H21,ASME B31.3,-40 / 343,LTCS NACE,4 - 10,8.56 - 15.09,21AW,N,,600H21,8.56,15.09,Pipe line class 600H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 4 - 10 in. Thickness range 8.56 - 15.09 mm. WPS number 21AW. PWHT N.
128,600H25,ASME B31.3,-40 / 343,LTCS NACE,16 - 30,21.44 - 34.00,21PW,Y,,600H25,21.44,34,Pipe line class 600H25. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 16 - 30 in. Thickness range 21.44 - 34.00 mm. WPS number 21PW. PWHT Y.
129,600H25,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,5.56 - 7.82,20AW,N,,600H25,5.56,7.82,Pipe line class 600H25. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 5.56 - 7.82 mm. WPS number 20AW. PWHT N.
130,600H25,ASME B31.3,-40 / 343,LTCS NACE,8 - 10,12.70 - 15.09,21AW,N,,600H25,12.7,15.09,Pipe line class 600H25. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 8 - 10 in. Thickness range 12.70 - 15.09 mm. WPS number 21AW. PWHT N.
131,600H25,ASME B31.3,-40 / 343,LTCS NACE,16 - 24,21.44 - 30.96,21PW,Y,,600H25,21.44,30.96,Pipe line class 600H25. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 16 - 24 in. Thickness range 21.44 - 30.96 mm. WPS number 21PW. PWHT Y.
132,600H2G,ASME B31.3,-40 / 38,LTCS Galv/Scrd,≤ 2,5.56 - 8.74,,,Threaded connections,600H2G,5.56,8.74,Pipe line class 600H2G. Design code ASME B31.3. Design temperature range -40 / 38 deg C. Material LTCS Galv/Scrd. Diameter ≤ 2 in. Thickness range 5.56 - 8.74 mm. Comments Threaded connections.
133,600H2G,ASME B31.3,-40 / 38,LTCS Galv/Scrd,> 2,11.13,"20AW/21AW, Note (3)",N,,600H2G,11.13,11.13,"Pipe line class 600H2G. Design code ASME B31.3. Design temperature range -40 / 38 deg C. Material LTCS Galv/Scrd. Diameter > 2 in. Thickness range 11.13 mm. WPS number 20AW/21AW, Note (3). PWHT N."
134,600H5M,ASME B31.8,-40 / 75,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 5.54,"F-001AW, Note (6)",N,,600H5M,3.91,5.54,"Pipe line class 600H5M. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number F-001AW, Note (6). PWHT N."
135,600H5M,ASME B31.8,-40 / 75,LTCS  - API 5L X60 (SMLS),4 - 8,6.02 - 7.11,"F-002AW, Note (6)",N,,600H5M,6.02,7.11,"Pipe line class 600H5M. Design code ASME B31.8. Design temperature range -40 / 75 deg C. Material LTCS  - API 5L X60 (SMLS). Diameter 4 - 8 in. Thickness range 6.02 - 7.11 mm. WPS number F-002AW, Note (6). PWHT N."
136,600H5P (AG),ASME B31.8,-40 / 100,LTCS - SMYS≤ 42 ksi (290 Mpa),1/2 - 3,3.91 - 7.82,"F-001AW, Note (6)",N,For above ground welds only,600H5PAG,3.91,7.82,"Pipe line class 600H5P (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS - SMYS≤ 42 ksi (290 Mpa). Diameter 1/2 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number F-001AW, Note (6). PWHT N. Comments For above ground welds only."
137,600H5P (AG),ASME B31.8,-40 / 100,LTCS - API 5L X60 (SMLS),4 - 12,6.02 - 11.13,"F-002AW, Note (6)",N,For above ground welds only,600H5PAG,6.02,11.13,"Pipe line class 600H5P (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 11.13 mm. WPS number F-002AW, Note (6). PWHT N. Comments For above ground welds only."
138,600H5P (AG),ASME B31.8,-40 / 100,LTCS - API 5L X60 (SMLS),> 12 - 18,11.13 - 11.13,"F-017AW, Note (6)",N,For above ground welds only,600H5PAG,11.13,11.13,"Pipe line class 600H5P (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS - API 5L X60 (SMLS). Diameter > 12 - 18 in. Thickness range 11.13 - 11.13 mm. WPS number F-017AW, Note (6). PWHT N. Comments For above ground welds only."
139,600H5P (AG),ASME B31.8,-40 / 100,LTCS - API 5L X60 (SMLS),≥ 24,14.27 - 15.88,"F-017PW, Note (6)",Y,For above ground welds only,600H5PAG,14.27,15.88,"Pipe line class 600H5P (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS - API 5L X60 (SMLS). Diameter ≥ 24 in. Thickness range 14.27 - 15.88 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only."
140,600H5P (UG),ASME B31.8,-40 / 100,LTCS - API 5L X60 (SMLS),4 - 12,6.02 - 11.13,"F-002AW, Note (6)",N,For below ground pipeline welds only,600H5PUG,6.02,11.13,"Pipe line class 600H5P (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS - API 5L X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 11.13 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
141,600H5P (UG),ASME B31.8,-40 / 100,LTCS - API 5L X60 (SMLS),≥ 24,14.27 - 14.27,"F-017PW, Note (6)",Y,For below ground pipeline welds only,600H5PUG,14.27,14.27,"Pipe line class 600H5P (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS - API 5L X60 (SMLS). Diameter ≥ 24 in. Thickness range 14.27 - 14.27 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For below ground pipeline welds only."
142,600K21,ASME B31.3,-40 / 260,LTCS NACE,1/2 - 3,4.78 - 7.82,"20PW, for SW see Note (2)",Y,"SW only for legacy lines < 2""",600K21,4.78,7.82,"Pipe line class 600K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.78 - 7.82 mm. WPS number 20PW, for SW see Note (2). PWHT Y. Comments SW only for legacy lines < 2""."
143,600K21,ASME B31.3,-40 / 260,LTCS NACE,> 3,12.7 - 48.00,21PW,Y,"SW only for legacy lines < 2""",600K21,12.7,48,"Pipe line class 600K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 12.7 - 48.00 mm. WPS number 21PW. PWHT Y. Comments SW only for legacy lines < 2""."
144,600K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 5.54,"F-001PW, Note (6)",Y,For above ground welds only,600K5DAG,3.91,5.54,"Pipe line class 600K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only."
145,600K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),4 - 12,5.16 - 8.38,"F-002PW, Note (6)",Y,For above ground welds only,600K5DAG,5.16,8.38,"Pipe line class 600K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 5.16 - 8.38 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
